日期,大类名称,中类名称,商品名称,销售数量,销售金额,退货金额,折扣金额,利润率,客单价
2023-01-01,食品,调味品,酱油,302,290976.75,8356.87,29368.52,0.3,963.5
2023-01-01,食品,粮油,面条,214,140390.73,3490.04,16816.75,0.28,656.03
2023-01-01,食品,饮料,果汁,172,23612.49,374.38,3469.42,0.35,137.28
2023-01-01,服装,女装,连衣裙,68,34336.86,962.71,4458.69,0.4,504.95
2023-01-01,电子产品,智能手表,小米手环,34,180783.31,2691.18,11640.74,0.34,5317.16
2023-01-01,电子产品,游戏机,PS5,68,160160.29,3701.65,8919.39,0.32,2355.3
2023-01-01,食品,生鲜,进口水果,354,320682.78,4765.57,47961.6,0.36,905.88
2023-01-01,食品,调味品,进口橄榄油,494,304822.16,6449.84,36158.37,0.28,617.05
2023-01-01,家居用品,家纺,羽绒被,151,446611.21,15709.92,23000.81,0.47,2957.69
2023-01-01,电子产品,手机,小米14,58,239022.33,10039.19,18433.24,0.16,4121.07
2023-01-01,食品,饮料,咖啡,303,23191.33,1012.12,1586.88,0.44,76.54
2023-01-01,服装,男装,休闲西装,280,396153.92,10815.16,55325.26,0.46,1414.84
2023-01-01,电子产品,游戏机,PS4 Pro,67,215363.51,6093.13,20604.41,0.35,3214.38
2023-01-02,服装,女装,套装,204,245202.97,12158.18,22268.69,0.21,1201.98
2023-01-02,家居用品,家纺,羽绒被,121,96079.27,2499.01,12910.28,0.35,794.04
2023-01-02,家居用品,灯具,水晶吊灯,83,93812.24,4275.23,8180.35,0.31,1130.27
2023-01-02,服装,配饰,奢侈品包包,172,288074.36,11351.59,22471.41,0.38,1674.85
2023-01-02,服装,配饰,钻石项链,206,375939.28,12085.22,40390.12,0.49,1824.95
2023-01-02,家居用品,厨具,电饭煲,58,131668.65,3142.1,17736.48,0.43,2270.15
2023-01-02,食品,粮油,面条,98,35412.7,1042.52,3884.87,0.49,361.35
2023-01-02,家居用品,厨具,炒锅套装,19,2597.46,40.94,317.92,0.43,136.71
2023-01-02,电子产品,手机,iPhone 15 Pro,15,11670.59,214.04,703.98,0.4,778.04
2023-01-02,家居用品,卫浴,花洒,138,52204.3,2368.34,5460.38,0.36,378.29
2023-01-02,电子产品,手机,vivo X100,47,460767.09,17330.22,55540.25,0.27,9803.56
2023-01-02,电子产品,平板电脑,iPad Air,36,145736.96,3015.79,15978.78,0.5,4048.25
2023-01-02,家居用品,灯具,北欧吊灯,134,437463.5,10325.8,30352.56,0.24,3264.65
2023-01-02,电子产品,相机,松下S5,58,560015.13,13493.75,66246.8,0.33,9655.43
2023-01-02,服装,童装,品牌童装,176,429526.42,16546.62,31415.43,0.37,2440.49
2023-01-02,电子产品,智能手表,Apple Watch,24,18190.79,720.77,1757.23,0.46,757.95
2023-01-03,家居用品,家纺,蚕丝被,127,82510.74,1491.75,7768.98,0.24,649.69
2023-01-03,食品,粮油,橄榄油,217,89405.72,1797.85,12162.87,0.24,412.01
2023-01-03,家居用品,卫浴,浴缸套装,121,390104.56,17369.78,42353.5,0.5,3224.0
2023-01-03,食品,生鲜,海鲜礼盒,439,436115.95,17396.24,53574.28,0.29,993.43
2023-01-03,服装,童装,外套,26,20127.76,244.14,1684.13,0.23,774.14
2023-01-03,家居用品,家纺,蚕丝被,149,306739.92,10009.96,37549.89,0.23,2058.66
2023-01-03,家居用品,收纳,收纳盒,127,240426.96,10290.73,15744.38,0.31,1893.13
2023-01-03,服装,配饰,手表,119,281833.74,10259.5,34320.08,0.45,2368.35
2023-01-03,服装,运动装,彪马,222,255560.74,7180.66,32745.23,0.23,1151.17
2023-01-03,食品,调味品,醋,270,164272.07,5935.14,18158.4,0.32,608.42
2023-01-03,食品,零食,薯片,385,107529.57,4173.34,6896.98,0.28,279.3
2023-01-03,食品,粮油,进口面粉,431,67691.7,3184.26,5069.5,0.43,157.06
2023-01-03,电子产品,配件,平板保护套,64,106997.77,1816.56,12370.7,0.48,1671.84
2023-01-03,电子产品,平板电脑,华为MatePad,96,342857.31,5481.09,39270.01,0.39,3571.43
2023-01-03,食品,调味品,调味料,107,33144.31,479.17,2879.24,0.17,309.76
2023-01-03,家居用品,卫浴,浴室柜,145,219667.15,8653.86,22873.45,0.31,1514.95
2023-01-04,电子产品,平板电脑,Samsung Tab,10,70284.5,1426.64,4487.31,0.15,7028.45
2023-01-04,食品,调味品,酱油,100,83469.99,3672.55,4506.13,0.2,834.7
2023-01-04,家居用品,收纳,收纳盒,111,447231.74,13698.25,45950.99,0.48,4029.11
2023-01-04,食品,生鲜,蔬菜,147,100198.01,3636.09,7775.33,0.28,681.62
2023-01-04,家居用品,灯具,落地灯,59,215495.27,4111.35,17275.87,0.46,3652.46
2023-01-04,电子产品,智能手表,OPPO Watch,83,470300.44,18966.27,40645.96,0.17,5666.27
2023-01-04,食品,饮料,茅台酒,355,244756.38,3227.09,30456.05,0.23,689.45
2023-01-04,家居用品,家具,办公椅,165,814184.34,37944.46,44900.72,0.29,4934.45
2023-01-04,家居用品,家具,办公椅,6,18610.12,262.56,2035.54,0.24,3101.69
2023-01-04,服装,运动装,彪马,112,290662.07,10731.58,41507.23,0.36,2595.2
2023-01-04,服装,童装,品牌童装,184,289887.3,7445.68,23613.55,0.24,1575.47
2023-01-04,家居用品,厨具,电饭煲,112,266453.83,9826.9,39791.72,0.37,2379.05
2023-01-04,家居用品,灯具,射灯,49,80398.38,3402.44,4790.38,0.27,1640.78
2023-01-04,服装,童装,品牌童装,171,391561.81,3997.48,28685.14,0.46,2289.84
2023-01-04,家居用品,家纺,毛巾套装,139,272108.26,9538.62,37421.31,0.45,1957.61
2023-01-05,食品,粮油,进口面粉,320,25593.17,1149.56,2292.82,0.43,79.98
2023-01-05,家居用品,收纳,整体衣柜,151,367471.54,6336.23,28435.33,0.4,2433.59
